Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7szuecWAPwGoV1e5vGu8tl,"1Xyo4u8uXC1ZmMpatF05PJ","In Your Eyes","After Hours","The Weeknd",2020-03-20,237520,70,spotify:user:flaredfive830,2020-04-07T00:44:31Z,"canadian contemporary r&b,canadian pop,pop",0.667,0.719,7,-5.371,0,0.0346,0.0028,0.0000792,0.0736,0.718,100.019,4
5QO79kh1waicV47BqGRL3g,"1Xyo4u8uXC1ZmMpatF05PJ","Save Your Tears","After Hours","The Weeknd",2020-03-20,215626,79,spotify:user:flaredfive830,2020-04-07T00:44:35Z,"canadian contemporary r&b,canadian pop,pop",0.679,0.825,0,-5.487,1,0.0309,0.0212,0.0000121,0.543,0.644,118.049,4
0vVkuvsZVOC83mgZAtemK5,"6TLwD7HPWuiOzvXEa3oCNe","Let Me Down","Let Me Down","Oliver Tree",2020-04-07,111209,0,spotify:user:flaredfive830,2020-04-16T01:47:26Z,"alternative hip hop",0.457,0.648,7,-5.762,1,0.0552,0.0114,0.0000169,0.212,0.736,160.021,4
3ernkvxpkWap60SeadSqGL,"6TLwD7HPWuiOzvXEa3oCNe","Cash Machine","Cash Machine","Oliver Tree",2019-12-06,177625,0,spotify:user:flaredfive830,2020-04-16T01:47:33Z,"alternative hip hop",0.425,0.625,9,-6.863,1,0.0339,0.0188,0.0000944,0.118,0.518,200.631,4
0ijiuWyVbNzg6Kw1Z1BVb8,"6TLwD7HPWuiOzvXEa3oCNe","Miracle Man","Do You Feel Me?","Oliver Tree",2019-08-02,124579,0,spotify:user:flaredfive830,2020-04-16T01:47:39Z,"alternative hip hop",0.671,0.465,0,-8.165,1,0.0313,0.0896,0,0.431,0.685,140.012,4
7dFERLugNJZUgtX1V3KA4b,"0Ya43ZKWHTKkAbkoJJkwIB","Pink Lemonade","Glitterbug (Deluxe Edition)","The Wombats",2015-04-14,226106,39,spotify:user:flaredfive830,2020-05-10T02:22:28Z,"liverpool indie,modern alternative rock,modern rock",0.56,0.956,0,-4.366,1,0.0776,0.00406,0.00000155,0.358,0.821,143.993,4
57RA3JGafJm5zRtKJiKPIm,"0NIPkIjTV8mB795yEIiPYL,3l0CmX0FuQjFxr8SK7Vqag","Are You Bored Yet? (feat. Clairo)","Nothing Happens","Wallows,Clairo",2019-03-22,178000,76,spotify:user:flaredfive830,2020-05-10T02:22:34Z,"pov: indie,bedroom pop,indie pop",0.682,0.683,8,-6.444,0,0.0287,0.156,0.0000232,0.273,0.64,120.023,4
25SJaCCPiosugnlY53VhRG,"3Sz7ZnJQBIHsXLUSo0OQtM","Freaking Out the Neighborhood","2","Mac DeMarco",2012-10-16,173888,0,spotify:user:flaredfive830,2020-05-10T02:22:45Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock",0.565,0.832,8,-5.751,0,0.108,0.0639,0.0291,0.386,0.847,143.302,4
3T9EW0MN5nyXi7qbKWaOMq,"7fqDRFkiuwzFDde1K0taVs","When Will I See You Again","When Will I See You Again","Shakka",2014-10-19,217999,0,spotify:user:flaredfive830,2020-05-10T02:22:52Z,"r&drill",0.593,0.893,6,-5.811,1,0.132,0.301,0,0.135,0.63,150.085,4
1fidCEsYlaVE3pHwKCvpFZ,"0awl5piYwO0CDTHEkCjUhn","Am I Wrong","Black Star Elephant","Nico & Vinz",2014,245866,71,spotify:user:flaredfive830,2020-05-22T19:32:11Z,"afrobeats",0.729,0.675,8,-6.003,1,0.0312,0.175,0.00000158,0.55,0.779,119.968,4
5VSCgNlSmTV2Yq5lB40Eaw,"34v5MVKeQnIo0CWYMbbrPf","Love Me Again","Tribute","John Newman",2013-01-01,239894,60,spotify:user:flaredfive830,2020-05-22T19:33:14Z,"dance pop",0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,4
6hIOunhsLUT66KQgZV5dMD,"5dYGaoCO0iaUZKfl9K8Gtd","Swing Lynn","I'm Sure","Harmless",2012-08-14,321438,0,spotify:user:flaredfive830,2020-05-24T05:04:39Z,"modern dream pop",0.462,0.945,2,-1.887,1,0.0399,0.0536,0.746,0.11,0.477,165.153,4
2RrZbxdl9nuFMCrO71tXTG,"7cSbcJTJBBSXDjRNR2qD61,0NVy1xEsz4i8pX33Scv75n","Eyes Blue Like The Atlantic","Eyes Blue Like The Atlantic","Sista Prod,Subvrbs",2019-04-25,154549,0,spotify:user:flaredfive830,2020-06-06T00:52:18Z,"sad lo-fi",0.736,0.279,9,-16.926,0,0.903,0.65,0.000312,0.246,0.476,76.431,4
4H7WNRErSbONkM06blBoGc,"246dkjvS1zLTtiykXe5h60","Stay","beerbongs & bentleys","Post Malone",2018-04-27,204426,65,spotify:user:flaredfive830,2020-06-06T23:06:51Z,"dfw rap,melodic rap,pop,rap",0.506,0.48,5,-5.418,1,0.0266,0.449,0,0.147,0.351,86.042,4
1VLCctJbr8AjrZQ0KoyJ4A,"1wxPItEzr7U7rGSMPqZ25r,7z6qM92XcUIwugTRs2PcmZ","Imagination","Imagination","Shiloh Dynasty,Patient Zero",2018-06-02,104777,0,spotify:user:flaredfive830,2020-06-06T23:08:38Z,"lo-fi chill,sad lo-fi",0.816,0.0965,7,-22.035,1,0.0379,0.715,0.785,0.108,0.847,110.008,5
3bIfLvq2cb67eXtFbzUwKb,"395RUhnuJcbFdgp6nYZsih,4vHDEuTvYQ8pYO4TMhReKd","alarm","alarm","atlas,no sentences",2017-03-09,138239,31,spotify:user:flaredfive830,2020-06-06T23:11:53Z,"lo-fi rap",0.715,0.768,6,-11.345,1,0.504,0.763,0.0000151,0.288,0.569,87.031,4
1begrRmOMxZvLjUvFSUaEj,"6R664N4cEza3eORSqKSgO4","You Know It","You Know It","Colony House",2016-06-24,182266,31,spotify:user:flaredfive830,2020-06-06T23:18:03Z,"hopebeat,indie rockism,indiecoustica",0.404,0.962,3,-2.901,1,0.0978,0.0352,0,0.146,0.572,158.121,4
4nlvKIIetOWGIMyhjQXgOZ,"6nxWCVXbOlEVRexSbLsTer,6O4EGCCb6DoIiR6B1QCQgp","The Difference","The Difference","Flume,Toro y Moi",2020-03-11,139662,15,spotify:user:flaredfive830,2020-06-06T23:23:15Z,"australian dance,australian electropop,australian indie,downtempo,edm,indietronica,chillwave,hypnagogic pop,indie soul",0.56,0.865,1,-1.148,1,0.0909,0.255,0.000153,0.083,0.424,159.96,4
7yNf9YjeO5JXUE3JEBgnYc,"6USv9qhCn6zfxlBQIYJ9qs","Babydoll","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,97960,80,spotify:user:flaredfive830,2020-06-07T02:19:31Z,"alternative pop rock,pov: indie",0.762,0.604,7,-5.296,0,0.11,0.114,0,0.0271,0.847,168.007,4
6V81K1OcvYgHEnCA6A2Qx9,"6I3MElirhT5t6Kf7p0hGk9,3y2cIKLjiOlp1Np37WiUdH","Start a Riot","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","Duckwrth,Shaboozey",2018-12-14,171466,60,spotify:user:flaredfive830,2020-06-29T22:05:34Z,"alternative r&b,pop rap",0.728,0.727,2,-3.585,1,0.206,0.0128,0,0.0882,0.891,143.144,4
